type,color,intensity,shape,carat,origin,price,stock,treatment,hardness,clarity,dimensions,images,slug,metaTitle,metaDescription,keywords
Sapphire,Blue,Vivid,Oval,2.5,Sri Lanka,3500,10,Heat Treatment,9 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,blue-sapphire-oval-vivid,Blue Sapphire Oval 2.5ct,Stunning vivid blue sapphire from Sri Lanka,sapphire blue gemstone
Emerald,Green,Deep,Emerald Cut,1.8,Colombia,4200,5,Oil Treatment,7.5 Mohs,SI1,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,colombian-emerald-deep-green,Colombian Emerald 1.8ct,Deep green Colombian emerald with excellent clarity,emerald green gemstone colombia
Ruby,Red,Intense,Round,1.2,Myanmar,5800,8,Heat Treatment,9 Mohs,VVS,6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,burmese-ruby-intense-red,Burmese Ruby 1.2ct,Intense red Burmese ruby with exceptional brilliance,ruby red gemstone myanmar
Aquamarine,Blue,Light,Cushion,3.0,Brazil,1200,15,None,7.5 Mohs,VVS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,aquamarine-cushion-light-blue,Aquamarine Cushion 3.0ct,Light blue aquamarine with excellent transparency,aquamarine blue gemstone
Morganite,Pink,Soft,Oval,2.8,Madagascar,1800,12,Heat Treatment,7.5 Mohs,VS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,morganite-pink-oval,Pink Morganite Oval 2.8ct,Soft pink morganite perfect for engagement rings,morganite pink gemstone
Tanzanite,Violet,Vivid,Cushion,2.2,Tanzania,3200,6,Heat Treatment,6.5 Mohs,VS1,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,tanzanite-violet-vivid,Tanzanite Violet 2.2ct,Vivid violet tanzanite from Tanzania,tanzanite violet gemstone
Topaz,Blue,Sky,Emerald Cut,4.5,Brazil,800,20,Irradiation,8 Mohs,VVS,10x8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,blue-topaz-sky-emerald,Sky Blue Topaz 4.5ct,Sky blue topaz with excellent clarity,topaz blue gemstone
Peridot,Green,Lime,Round,1.5,Pakistan,600,18,None,6.5 Mohs,VS,6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,peridot-lime-green-round,Peridot Lime Green 1.5ct,Lime green peridot with natural brilliance,peridot green gemstone
Amethyst,Purple,Deep,Oval,3.5,Brazil,450,25,None,7 Mohs,VVS,10x8mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,amethyst-purple-deep-oval,Deep Purple Amethyst 3.5ct,Deep purple amethyst with rich color,amethyst purple gemstone
Citrine,Yellow,Golden,Cushion,4.0,Brazil,550,22,Heat Treatment,7 Mohs,VS,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,citrine-golden-yellow,Golden Citrine Cushion 4.0ct,Golden yellow citrine with warm tones,citrine yellow gemstone
Garnet,Red,Wine,Round,2.0,Mozambique,750,14,None,7.5 Mohs,VS1,7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,garnet-wine-red-round,Wine Red Garnet 2.0ct,Wine red garnet with deep color,garnet red gemstone
Tourmaline,Green,Mint,Emerald Cut,2.5,Afghanistan,2200,8,None,7.5 Mohs,VS,8x6mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,tourmaline-mint-green,Mint Green Tourmaline 2.5ct,Mint green tourmaline with excellent clarity,tourmaline green gemstone
Spinel,Red,Vivid,Cushion,1.8,Myanmar,3800,5,None,8 Mohs,VVS,7x5mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,spinel-red-vivid-cushion,Vivid Red Spinel 1.8ct,Vivid red spinel alternative to ruby,spinel red gemstone
Opal,Multicolor,Play of Color,Oval,2.2,Australia,2800,7,None,5.5 Mohs,Translucent,9x7mm,https://images.unsplash.com/photo-1611955167811-4711904bb9f8?w=800,australian-opal-multicolor,Australian Opal 2.2ct,Australian opal with stunning play of color,opal multicolor gemstone
