name,basePrice,stock,description,categoryName,metal,shape,style,stoneType,images,priceByMetal,metals,prongStyle,bandWidth,metaTitle,metaDescription,keywords
"Classic Solitaire Diamond Ring",1250,15,"Timeless solitaire setting highlighting the center diamond.","Rings & Settings","14K White Gold","Round","Solitaire","Diamond","https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=800|https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800","14K White Gold:1250|18K White Gold:1450|Platinum:1650","14K White Gold|18K White Gold|Platinum","4-Prong","1.5mm","Classic Solitaire Diamond Engagement Ring","Timeless solitaire diamond ring in white gold, platinum available","solitaire ring, diamond engagement ring, classic ring"
"Vintage Halo Diamond Ring",1600,8,"Intricate vintage-inspired halo design.","Rings & Settings","14K Rose Gold","Oval","Halo","Diamond","https://images.unsplash.com/photo-1602751584552-8ba73aad10e1?w=800|https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800","14K Rose Gold:1600|18K Rose Gold:1800","14K Rose Gold|18K Rose Gold","Halo","1.8mm","Vintage Halo Diamond Ring","Vintage-inspired halo diamond ring with intricate details","halo ring, vintage ring, oval diamond"
"Three Stone Sapphire Ring",2100,5,"Stunning three-stone design with sapphire accents.","Rings & Settings","Platinum","Cushion","Three Stone","Sapphire","https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800|https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800|https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800","Platinum:2100|18K White Gold:1900","Platinum|18K White Gold","6-Prong","2.0mm","Three Stone Sapphire Engagement Ring","Stunning three-stone sapphire ring with diamond accents","three stone ring, sapphire ring, cushion cut"
"Modern Bezel Set Ring",950,20,"Sleek modern bezel setting for everyday wear.","Rings & Settings","18K Yellow Gold","Princess","Bezel","Diamond","https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=800|https://images.unsplash.com/photo-1602751584552-8ba73aad10e1?w=800","18K Yellow Gold:950|14K Yellow Gold:850","18K Yellow Gold|14K Yellow Gold","Bezel","2.5mm","Modern Bezel Set Diamond Ring","Sleek modern bezel diamond ring for everyday elegance","bezel ring, modern ring, princess cut"
"Twisted Vine Diamond Ring",1350,12,"Nature-inspired twisted vine band with pave diamonds.","Rings & Settings","14K White Gold","Round","Nature","Diamond","https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800|https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800|https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800","14K White Gold:1350|Platinum:1550","14K White Gold|Platinum","4-Prong","1.8mm","Twisted Vine Diamond Engagement Ring","Nature-inspired twisted vine ring with pave diamonds","nature ring, vine ring, twisted band"
"Hidden Halo Solitaire",1450,10,"Classic solitaire with a hidden halo surprise.","Rings & Settings","Platinum","Round","Solitaire","Diamond","https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800|https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=800","Platinum:1450|14K White Gold:1250","Platinum|14K White Gold","Hidden Halo","1.5mm","Hidden Halo Solitaire Diamond Ring","Classic solitaire with hidden halo detail underneath","hidden halo, solitaire ring, round diamond"
"Emerald Cut Halo Ring",1800,7,"Elegant emerald cut diamond surrounded by a halo.","Rings & Settings","14K White Gold","Emerald","Halo","Diamond","https://images.unsplash.com/photo-1602751584552-8ba73aad10e1?w=800|https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800|https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800","14K White Gold:1800|Platinum:2000|18K White Gold:1900","14K White Gold|Platinum|18K White Gold","Halo","2.0mm","Emerald Cut Halo Diamond Ring","Elegant emerald cut diamond with halo setting","emerald cut, halo ring, step cut diamond"
"Yellow Gold Pavé Band",1100,18,"Delicate pavé diamonds set in yellow gold.","Rings & Settings","18K Yellow Gold","Round","Pavé","Diamond","https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800|https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800","18K Yellow Gold:1100|14K Yellow Gold:950","18K Yellow Gold|14K Yellow Gold","Pavé","1.5mm","Yellow Gold Pavé Diamond Band","Delicate pavé diamond band in yellow gold","pave band, yellow gold ring, diamond band"
"Rose Gold Morganite Ring",900,25,"Soft pink morganite set in rose gold.","Rings & Settings","14K Rose Gold","Oval","Solitaire","Morganite","https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=800|https://images.unsplash.com/photo-1602751584552-8ba73aad10e1?w=800|https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800","14K Rose Gold:900|18K Rose Gold:1050","14K Rose Gold|18K Rose Gold","4-Prong","1.8mm","Rose Gold Morganite Engagement Ring","Soft pink morganite in rose gold solitaire setting","morganite ring, rose gold ring, pink gemstone"
"Blue Topaz Cocktail Ring",750,15,"Bold blue topaz statement ring.","Rings & Settings","Sterling Silver","Pear","Cocktail","Topaz","https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800|https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800","Sterling Silver:750|14K White Gold:950","Sterling Silver|14K White Gold","6-Prong","2.5mm","Blue Topaz Cocktail Statement Ring","Bold blue topaz pear-shaped cocktail ring","topaz ring, cocktail ring, statement ring"
