name,basePrice,stock,description,categoryName,metal,shape,style,stoneType,images
"Classic Solitaire Diamond Ring",1250,15,"Timeless solitaire setting highlighting the center diamond.","Rings & Settings","14K White Gold","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_1.jpg"
"Vintage Halo Diamond Ring",1600,8,"Intricate vintage-inspired halo design.","Rings & Settings","14K Rose Gold","Oval","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_2.jpg"
"Three Stone Sapphire Ring",2100,5,"Stunning three-stone design with sapphire accents.","Rings & Settings","Platinum","Cushion","Three Stone","Sapphire","https://res.cloudinary.com/demo/image/upload/sample_ring_3.jpg"
"Modern Bezel Set Ring",950,20,"Sleek modern bezel setting for everyday wear.","Rings & Settings","18K Yellow Gold","Princess","Bezel","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_4.jpg"
"Twisted Vine Diamond Ring",1350,12,"Nature-inspired twisted vine band with pave diamonds.","Rings & Settings","14K White Gold","Round","Nature","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_5.jpg"
"Hidden Halo Solitaire",1450,10,"Classic solitaire with a hidden halo surprise.","Rings & Settings","Platinum","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_6.jpg"
"Emerald Cut Halo Ring",1800,7,"Elegant emerald cut diamond surrounded by a halo.","Rings & Settings","14K White Gold","Emerald","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_7.jpg"
"Yellow Gold Pavé Band",1100,18,"Delicate pavé diamonds set in yellow gold.","Rings & Settings","18K Yellow Gold","Round","Pavé","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_8.jpg"
"Rose Gold Morganite Ring",900,25,"Soft pink morganite set in rose gold.","Rings & Settings","14K Rose Gold","Oval","Solitaire","Morganite","https://res.cloudinary.com/demo/image/upload/sample_ring_9.jpg"
"Blue Topaz Cocktail Ring",750,15,"Bold blue topaz statement ring.","Rings & Settings","Sterling Silver","Pear","Cocktail","Topaz","https://res.cloudinary.com/demo/image/upload/sample_ring_10.jpg"
"Art Deco Geometric Ring",1550,6,"Geometric lines inspired by the Art Deco era.","Rings & Settings","Platinum","Asscher","Vintage","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_11.jpg"
"Split Shank Halo Ring",1700,9,"Split shank band adds drama to the halo setting.","Rings & Settings","14K White Gold","Round","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_12.jpg"
"Infinity Twist Ring",850,22,"Symbolic infinity twist band design.","Rings & Settings","14K Rose Gold","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_13.jpg"
"Channel Set Princess Ring",1300,14,"Princess cut diamonds channel set in the band.","Rings & Settings","14K White Gold","Princess","Channel","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_14.jpg"
"East-West Marquise Ring",1150,8,"Unique east-west setting for a marquise diamond.","Rings & Settings","18K Yellow Gold","Marquise","Modern","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_15.jpg"
"Six Prong Classic Ring",1220,16,"Traditional six-prong setting for maximum security.","Rings & Settings","Platinum","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_16.jpg"
"Radiant Cut Three Stone",2400,4,"Brilliant radiant cut center with side stones.","Rings & Settings","14K White Gold","Radiant","Three Stone","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_17.jpg"
"Pear Shape Halo Ring",1650,11,"Graceful pear shape diamond in a halo.","Rings & Settings","14K Rose Gold","Pear","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_18.jpg"
"Baguette Accent Ring",1400,10,"Round center stone with tapered baguette accents.","Rings & Settings","Platinum","Round","Side Stone","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_19.jpg"
"Ruby and Diamond Ring",1900,5,"Rich red ruby surrounded by diamonds.","Rings & Settings","18K Yellow Gold","Oval","Halo","Ruby","https://res.cloudinary.com/demo/image/upload/sample_ring_20.jpg"
"Celtic Knot Ring",950,20,"Intricate Celtic knotwork band.","Rings & Settings","Sterling Silver","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_21.jpg"
"Double Halo Cushion Ring",2200,3,"Dramatic double halo for extra sparkle.","Rings & Settings","14K White Gold","Cushion","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_22.jpg"
"Knife Edge Solitaire",1180,12,"Modern knife-edge band profile.","Rings & Settings","18K Yellow Gold","Round","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_23.jpg"
"Floral Halo Ring",1580,7,"Halo designed to look like flower petals.","Rings & Settings","14K Rose Gold","Round","Halo","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_24.jpg"
"Tension Set Ring",1350,9,"Contemporary tension setting.","Rings & Settings","Titanium","Round","Tension","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_25.jpg"
"Filigree Detail Ring",1250,14,"Hand-engraved filigree details on the band.","Rings & Settings","Platinum","Round","Vintage","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_26.jpg"
"Petite Pavé Cathedral",1320,13,"Cathedral setting with petite pavé diamonds.","Rings & Settings","14K White Gold","Princess","Cathedral","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_27.jpg"
"Sapphire Side Stone Ring",1750,8,"Blue sapphire side stones flanking a diamond.","Rings & Settings","14K White Gold","Round","Three Stone","Sapphire","https://res.cloudinary.com/demo/image/upload/sample_ring_28.jpg"
"Chevron Band Ring",800,18,"Trendy chevron shaped nesting ring.","Rings & Settings","14K Rose Gold","Round","Stackable","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_29.jpg"
"Black Diamond Ring",1100,10,"Edgy black diamond in a gold setting.","Rings & Settings","18K Yellow Gold","Round","Solitaire","Black Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_30.jpg"
"Two Tone Twist Ring",1280,11,"Interwoven white and rose gold shank.","Rings & Settings","14K Two Tone","Round","Twist","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_31.jpg"
"Engraved Vintage Ring",1450,6,"Heavily engraved vintage style band.","Rings & Settings","Platinum","Asscher","Vintage","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_32.jpg"
"Wide Band Solitaire",1600,5,"Wide band statement solitaire.","Rings & Settings","18K Yellow Gold","Emerald","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_33.jpg"
"Cluster Diamond Ring",900,20,"Affordable cluster of small diamonds.","Rings & Settings","10K White Gold","Round","Cluster","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_34.jpg"
"Aquamarine March Ring",850,15,"Cool blue aquamarine birthstone ring.","Rings & Settings","Sterling Silver","Emerald","Solitaire","Aquamarine","https://res.cloudinary.com/demo/image/upload/sample_ring_35.jpg"
"Horizontal Oval Ring",1200,12,"Modern horizontal setting for oval stone.","Rings & Settings","14K Rose Gold","Oval","Modern","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_36.jpg"
"Cathedral Solitaire",1150,16,"Elegant arches of a cathedral setting.","Rings & Settings","14K White Gold","Round","Cathedral","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_37.jpg"
"Heart Shape Ring",1300,9,"Romantic heart shaped diamond.","Rings & Settings","14K Rose Gold","Heart","Solitaire","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_38.jpg"
"Bypass Tension Ring",1400,8,"Fluid bypass design creating tension.","Rings & Settings","Platinum","Round","Bypass","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_39.jpg"
"Pear Side Stone Ring",1800,6,"Pear shaped side stones.","Rings & Settings","18K Yellow Gold","Oval","Three Stone","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_40.jpg"
"Geometric Hexagon Ring",1500,7,"Unique hexagonal cut diamond.","Rings & Settings","14K Gold","Hexagon","Geometric","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_41.jpg"
"Milgrain Edge Band",1050,14,"Vintage milgrain detailing on the edges.","Rings & Settings","Platinum","Round","Vintage","Diamond","https://res.cloudinary.com/demo/image/upload/sample_ring_42.jpg"
